2023-10-10 04:06:04,507 INFO    MainThread:1615251 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_setup.py:_flush():76] Configure stats pid to 1615251
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_setup.py:_flush():76] Loading settings from /home/abhi/.config/wandb/settings
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_setup.py:_flush():76] Loading settings from /home/abhi/research/action_recognition/toy_HAR/wandb/settings
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'akamboj2', 'project': 'toy-HAR', 'sweep_id': 'edoube0p', 'root_dir': '/home/abhi/research/action_recognition/toy_HAR', 'run_id': 'xvivyhwk', 'sweep_param_path': '/home/abhi/research/action_recognition/toy_HAR/wandb/sweep-edoube0p/config-xvivyhwk.yaml'}
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/abhi/research/action_recognition/toy_HAR/train.py', 'program': '/home/abhi/research/action_recognition/toy_HAR/train.py'}
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_init.py:_log_setup():528] Logging user logs to /home/abhi/research/action_recognition/toy_HAR/wandb/run-20231010_040604-xvivyhwk/logs/debug.log
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_init.py:_log_setup():529] Logging internal logs to /home/abhi/research/action_recognition/toy_HAR/wandb/run-20231010_040604-xvivyhwk/logs/debug-internal.log
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_init.py:init():568] calling init triggers
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_init.py:init():575] wandb.init called with sweep_config: {'batch_size': 1, 'learning_rate': 0.001, 'num_epochs': 15, 'optimizer': 'SGD'}
config: {'num_epochs': 15, 'batch_size': 1, 'learning_rate': 0.001, 'optimizer': 'SGD'}
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_init.py:init():618] starting backend
2023-10-10 04:06:04,508 INFO    MainThread:1615251 [wandb_init.py:init():622] setting up manager
2023-10-10 04:06:04,510 INFO    MainThread:1615251 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-10 04:06:04,511 INFO    MainThread:1615251 [wandb_init.py:init():628] backend started and connected
2023-10-10 04:06:04,515 INFO    MainThread:1615251 [wandb_run.py:_config_callback():1324] config_cb None None {'batch_size': 1, 'learning_rate': 0.001, 'num_epochs': 15, 'optimizer': 'SGD'}
2023-10-10 04:06:04,515 INFO    MainThread:1615251 [wandb_init.py:init():720] updated telemetry
2023-10-10 04:06:04,523 INFO    MainThread:1615251 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-10 04:06:04,789 INFO    MainThread:1615251 [wandb_run.py:_on_init():2220] communicating current version
2023-10-10 04:06:04,890 INFO    MainThread:1615251 [wandb_run.py:_on_init():2229] got version response 
2023-10-10 04:06:04,890 INFO    MainThread:1615251 [wandb_init.py:init():804] starting run threads in backend
2023-10-10 04:06:07,270 INFO    MainThread:1615251 [wandb_run.py:_console_start():2199] atexit reg
2023-10-10 04:06:07,270 INFO    MainThread:1615251 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-10 04:06:07,270 INFO    MainThread:1615251 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-10 04:06:07,270 INFO    MainThread:1615251 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-10 04:06:07,271 INFO    MainThread:1615251 [wandb_init.py:init():845] run started, returning control to user process
2023-10-10 04:20:41,207 WARNING MsgRouterThr:1615251 [router.py:message_loop():77] message_loop has been closed
